21.5,49.3
21.4,55.5
21.7,53.1
21.5,55
21.9,50.3
21.7,47.3
21.3,47.6
21.5,46
21.5,47
21.4,45.1
21.4,41.5
21.5,42
21.7,42.6
21.5,42.4
21.5,42.4
21.3,40.7
21.4,42.5
21.3,41.6
21.5,43.5
21.4,44.2
20.9,42.3
21.7,42.2
21.6,45.5
21.7,42.8
21.5,42.8
21.5,45.3
21.3,46.7
21.6,44.3
8.7,43.4
22,45
21.7,46.6
21.5,45
21.7,44.4
21.6,45.9
21.5,58.6
20.9,59
21.4,53.3
21.2,49
21.1,47.4
21.1,48
21.2,52.2
21,52
17.4,54.2
17.5,77.1
17.4,71.1
17.4,73.2
17.4,70.1
17.3,66.5
17.3,66.4
17.7,66.1
17.5,70.8
17.4,71.6
17.6,69.5
17.6,71.2
17.3,70.3
17.2,69.8
17.7,77.5
17.8,78.1
17.9,78.1
17.6,74.7
17.6,71.3
17.9,76.3
17,74.2
18.1,73.1
18.5,74.7
18.6,77.1
18.7,76.8
18.5,68.3
18.6,63.9
18.5,63.5
19.1,64.2
17.8,58
18.8,56.6
18.6,61.6
18.9,65.5
18.3,67.5
18.9,67.5
18.8,71.2
18.3,77.1
18.7,70.7
18.9,73.8
18.9,75
18.8,74
18.6,73.8
19,71.5
18.8,77.4
19.1,69.5
18.5,66.8
19.1,71.1
19,68.8
19.4,71.6
19,75.2
19.5,71.6
19.8,67.6
21.4,54.8
21.9,55
22.4,57.4
21.8,52.9
21.7,53
21.5,53.7
21.8,52.1
21.6,52
21.8,53.3
21.5,55.1
21.7,52.9
21.4,52.8
21.5,53.3
21.6,53.7
21.6,53.2
21.8,53.8
21.7,56.4
22,55.3
21.6,54.9
21.9,53.5
21.5,54.7
21.7,54.3
21.7,51
21.7,53.8
21.4,53.5
21.6,54.6
21.4,62
21.3,61.4
20.6,71
20.8,75.1
20.4,73.4
20.6,72.6
20.6,73.2
20.6,69.6
20.7,69.8
21.1,65.9
21,69.7
20.5,68
20.8,72.7
20.9,72.5
10.3,72.5
20.8,72.6
20.7,70.9
20.6,63.5
20.9,66.7
20.6,65
20.6,67.4
20.8,62.1
21,61.7
21.2,63.6
20.9,63.2
20.8,63.5
21.4,61.4
20.7,61.7
20.8,61
20.6,65.5
21.1,62.4
20.9,63.1
20.6,70.7
20.7,67
20.6,71.4
20.7,60.2
21,61.6
20.6,62.2
21.3,69.4
20.9,71.5
20.7,69.1
20.5,65.8
20.9,72.5
20.6,69.8
20.9,65.5
21.1,68.1
20.6,68.8
20.6,61.1
20.9,60.9
20.6,62.2
20.9,60.6
20.9,60.8
20.9,62.3
20.9,62.8
20.8,66.6
21.1,70.2
20.7,69.9
21.1,67
20.7,59.7
21,65.4
20.8,65.2
20.7,61.8
20.8,63
20.7,60
20.8,58.7
20.7,57.9
20.7,66.2
20.7,63.8
20.5,61.4
20.1,63.2
20.4,61.5
20.6,62.5
21,72.3
20.4,65.3
20,63.9
20.5,63.8
20.7,66.1
21,71
20.4,64.8
20.6,62
20.6,63
20.8,71.1
20.4,64
21.1,64.3
20.5,65.2
20.5,62.7
20.5,60.7
20.7,60.7
20.7,62.1
20.5,63.2
20.4,65.5
20.5,68.6
21,74.5
20.5,70.6
20.5,70.3
20.2,77
20.3,75.9
20.9,76
20.2,68.8
20.2,77.7
20.1,80.1
20.6,78.3
20.9,86
20.7,86.3
20.9,84.5
20.2,77.7
20.6,86.3
20.8,81.3
20.8,80.6
20.9,82
21.1,78.6
20.9,82.7
21.2,85.5
21.3,78.3
21.4,82.7
21.4,77.2
21.6,77.7
21.2,75.7
21.6,72.0
21.6,77.9
21.3,78.6
21.0,78.4
21.1,75.9
21.2,76.9
21.1,79.2
21.3,73.6
21.5,76.4
21.1,74.7
21.6,74.5
21.5,79.0
21.3,78.5
22.0,81.6
22.0,74.5
22.1,75.5
21.9,72.7
22.1,80.1
21.9,81.1
21.7,82.1
21.6,79.9
21.6,77.5
22.0,74.8
21.8,68.5
21.7,78.5
21.6,80.4
21.7,77.8
